car;x07;;;;
1;00;;;;CAN;;;
1;FF;;;;CAN2;;;
1;7A;7E0;;;ECM;;;
1;58;747;;;Navigation-UCC-ITM;;;
1;67;792;;;BCB;;;
1;3A;7D6;;;CAN Adapter - BAC;;;
1;2C;752;;;Airbag-SRS;;;
1;13;712;;;Audio;;;
1;01;740;;;ABS-VDC;;;
1;24;75D;;;ACC;;;
1;5B;785;;;INSULATOR;;;
1;6E;7E1;;;AT;;;
1;51;743;;;TDB;;;
1;86;782;;;AAU;;;
1;29;744;;;HVAC;;;
1;26;745;;;UCH;;;
1;59;714;;;MIU;;;
1;93;79B;;;LBC (EV);;;
1;15;;;;ECM_29;;;
1;04;742;;;EPS;;;
1;97;7D8;;;PLC-PLGW;;;
1;1C;74B;;;TCU;;;
1;27;74D;;;UPC-EMM;;;
1;95;7E4;;;(H) EVC;;;
1;DA;;;;(H) EVC-HCM-VCM_29b;;;
1;62;7DC;;;FCAM;;;
1;68;75A;;;PEB;;;
1;78;;;;DCM Nissan;;;
1;77;7CA;;;DCM Renault;;;
1;4D;79D;;;SCU;;;
1;28;78A;;;CSHV Airbag Vehicle stopped;;;
1;66;719;;;VCCU;;;
1;48;7C6;;;WSU;;;
